Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,totalLivingArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
Edwards,5,1948,1950,TA,CBlock,Fa,810,1002,1456,2266,1,TA,7,TA,Detchd,1954,Unf,1,280,34900-124000
BrDale,6,1971,1971,TA,CBlock,TA,672,672,1218,1890,1,TA,7,NA,NA,?,NA,0,0,34900-124000
MeadowV,5,1970,1970,TA,CBlock,Gd,630,630,630,1260,1,Ex,3,NA,NA,?,NA,0,0,34900-124000
NAmes,3,1950,1950,TA,Slab,NA,0,1040,1040,1040,2,TA,6,NA,Detchd,1987,Unf,2,400,34900-124000
OldTown,5,1954,1954,TA,CBlock,TA,811,811,1387,2198,2,Gd,7,NA,BuiltIn,1954,Unf,1,256,34900-124000
OldTown,4,1953,1953,Fa,CBlock,Fa,936,936,936,1872,1,TA,4,NA,Detchd,1974,Unf,2,576,34900-124000
Edwards,5,1954,1954,TA,Slab,NA,0,1124,1124,1124,1,TA,5,Gd,NA,?,NA,0,0,34900-124000
NAmes,3,1950,1950,TA,CBlock,NA,0,1040,1040,1040,2,TA,6,NA,Detchd,1949,Unf,2,400,34900-124000
Mitchel,5,1991,1992,TA,PConc,Gd,974,974,974,1948,1,TA,5,NA,NA,?,NA,0,0,34900-124000
Sawyer,5,1875,1996,TA,CBlock,TA,780,780,1020,1800,1,TA,6,NA,NA,?,NA,0,0,34900-124000
BrDale,6,1972,1972,TA,CBlock,TA,483,483,987,1470,1,TA,5,Po,Attchd,1972,Unf,1,288,34900-124000
Edwards,4,1965,1965,TA,CBlock,TA,960,960,960,1920,1,TA,6,NA,Attchd,1965,Fin,1,432,34900-124000
Edwards,5,1941,1950,TA,CBlock,TA,616,616,1111,1727,1,TA,5,NA,Detchd,1941,Unf,1,200,34900-124000
OldTown,3,1900,1970,TA,CBlock,Fa,978,1014,1699,2677,2,TA,7,NA,CarPort,1920,Unf,2,420,34900-124000
Crawfor,5,1926,1950,TA,BrkTil,TA,768,789,789,1557,1,TA,5,NA,Detchd,1926,Unf,1,200,34900-124000
OldTown,4,1910,2004,TA,BrkTil,TA,576,792,1140,1716,1,TA,7,NA,NA,?,NA,0,0,34900-124000
NAmes,4,1971,1971,TA,CBlock,TA,864,864,864,1728,1,TA,4,NA,Detchd,1989,Unf,2,576,34900-124000
OldTown,5,1956,1956,TA,PConc,NA,0,882,882,882,1,TA,4,NA,Detchd,1956,Unf,1,308,34900-124000
MeadowV,4,1970,2008,TA,CBlock,TA,546,798,1344,1890,1,TA,6,TA,NA,?,NA,0,0,34900-124000
NAmes,6,1948,1950,TA,CBlock,TA,912,912,1458,2370,1,TA,6,Gd,Attchd,1948,Unf,1,330,34900-124000
Edwards,5,1925,1950,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1916,1950,TA,BrkTil,TA,624,624,1344,1968,1,TA,7,NA,Detchd,1916,Unf,3,513,34900-124000
Edwards,4,1945,1950,TA,Slab,NA,0,1088,1529,1529,2,TA,9,NA,Detchd,1945,Unf,1,240,34900-124000
NAmes,5,1950,1950,TA,CBlock,NA,0,1048,1048,1048,1,TA,7,NA,Detchd,1950,Unf,2,420,34900-124000
NAmes,5,1961,1961,TA,CBlock,TA,1235,1235,1235,2470,1,TA,6,NA,Attchd,1961,Unf,2,480,34900-124000
SawyerW,6,1979,1979,TA,CBlock,Gd,918,918,918,1836,2,TA,5,TA,Attchd,1979,Unf,1,264,34900-124000
Edwards,5,1922,1950,TA,PConc,Fa,864,864,864,1728,1,TA,4,NA,NA,?,NA,0,0,34900-124000
OldTown,4,1885,1995,TA,BrkTil,Fa,641,1047,1047,1688,1,TA,6,NA,Detchd,1954,Unf,1,273,34900-124000
IDOTRR,4,1939,1950,TA,PConc,TA,732,772,1123,1855,1,TA,4,NA,Detchd,1979,Unf,1,264,34900-124000
OldTown,5,1923,2006,Gd,CBlock,TA,968,968,968,1936,1,TA,5,NA,Detchd,1935,Unf,2,480,34900-124000
BrkSide,4,1941,1950,TA,CBlock,TA,788,788,788,1576,1,TA,4,TA,NA,?,NA,0,0,34900-124000
BrkSide,5,1924,1950,TA,PConc,TA,1145,1301,1301,2446,1,Fa,5,NA,Detchd,1965,Unf,2,440,34900-124000
BrDale,6,1973,1973,TA,CBlock,TA,483,483,987,1470,1,TA,5,NA,Detchd,1973,Unf,1,264,34900-124000
NAmes,5,1967,1967,TA,CBlock,TA,892,892,892,1784,1,TA,5,NA,Attchd,1967,RFn,1,288,34900-124000
Edwards,5,1965,1965,TA,CBlock,NA,0,1664,1664,1664,2,TA,8,NA,NA,?,NA,0,0,34900-124000
Edwards,4,1938,1958,TA,CBlock,TA,816,816,816,1632,1,TA,3,Gd,Detchd,1958,Unf,1,288,34900-124000
IDOTRR,5,1920,1996,TA,BrkTil,TA,530,581,1111,1641,1,Fa,6,NA,Detchd,1935,Unf,1,288,34900-124000
NAmes,4,1962,1962,TA,Slab,NA,0,1224,1224,1224,2,TA,6,NA,CarPort,1962,Unf,2,462,34900-124000
Edwards,4,1951,1951,TA,CBlock,Fa,836,1220,1220,2056,1,TA,6,NA,Detchd,1951,Unf,2,396,34900-124000
SWISU,5,1926,1950,TA,BrkTil,TA,1008,1008,1522,2530,2,TA,7,NA,NA,?,NA,0,0,34900-124000
BrkSide,6,1926,1950,TA,BrkTil,TA,960,986,986,1946,1,TA,5,Gd,Detchd,1926,Unf,1,180,34900-124000
IDOTRR,4,1900,1950,TA,Stone,TA,859,859,1178,2037,1,TA,7,NA,Detchd,1964,RFn,1,384,34900-124000
IDOTRR,4,1925,1950,TA,CBlock,TA,780,848,1208,1988,1,TA,5,NA,Detchd,1962,Unf,2,539,34900-124000
OldTown,4,1956,1956,TA,CBlock,TA,882,882,882,1764,1,TA,4,NA,NA,?,NA,0,0,34900-124000
Edwards,6,1925,1950,TA,BrkTil,TA,672,697,1369,2041,2,TA,6,NA,Detchd,1930,Unf,1,300,34900-124000
OldTown,6,1912,1950,TA,CBlock,TA,755,929,2229,2984,1,TA,8,NA,NA,?,NA,0,0,34900-124000
Edwards,5,1924,1950,TA,BrkTil,TA,784,949,1221,2005,1,TA,7,NA,Attchd,1965,Unf,1,392,34900-124000
NAmes,4,1920,2007,TA,BrkTil,TA,715,1281,1738,2453,2,TA,7,Gd,Attchd,1920,Unf,1,368,34900-124000
BrkSide,5,1931,1993,TA,BrkTil,TA,715,875,875,1590,1,TA,5,NA,Detchd,1931,Unf,1,180,34900-124000
NAmes,5,1941,1950,TA,CBlock,TA,768,968,1376,2144,1,TA,6,Gd,Attchd,1941,Unf,1,240,34900-124000
OldTown,4,1920,1950,Fa,PConc,TA,840,840,1374,2214,1,TA,6,NA,Detchd,1967,Fin,1,338,34900-124000
Edwards,6,1939,1950,TA,BrkTil,TA,560,698,1258,1818,1,TA,6,NA,Detchd,1939,Unf,1,280,34900-124000
OldTown,3,1915,1950,TA,PConc,TA,672,694,1214,1886,1,TA,6,NA,Detchd,1998,Unf,3,936,34900-124000
NAmes,6,1954,1954,TA,CBlock,TA,832,832,832,1664,1,Gd,4,NA,Detchd,1962,Unf,2,528,34900-124000
OldTown,6,1928,2003,TA,BrkTil,TA,624,720,720,1344,1,TA,5,NA,Detchd,2005,Unf,2,484,34900-124000
BrDale,6,1970,1970,TA,CBlock,TA,483,483,987,1470,1,TA,5,NA,Detchd,1987,Unf,1,280,34900-124000
OldTown,5,1898,1965,TA,PConc,TA,849,1075,2138,2987,2,TA,11,NA,Detchd,1910,Unf,2,360,34900-124000
BrDale,5,1970,1970,TA,CBlock,TA,630,630,1302,1932,2,TA,6,NA,Detchd,1970,Unf,2,440,34900-124000
OldTown,4,1900,2000,TA,BrkTil,NA,0,694,1294,1294,2,TA,7,NA,NA,?,NA,0,0,34900-124000
NAmes,5,1959,1959,TA,Slab,NA,0,882,882,882,1,TA,5,NA,Attchd,1959,RFn,1,294,34900-124000
IDOTRR,4,1936,1950,TA,BrkTil,TA,951,951,951,1902,1,TA,6,NA,Detchd,1936,Unf,1,327,34900-124000
OldTown,4,1925,1950,TA,CBlock,TA,686,810,1328,2014,1,TA,8,NA,Detchd,1940,Unf,1,210,34900-124000
Edwards,6,1976,1976,TA,CBlock,TA,1029,1117,1117,2146,1,TA,6,TA,Detchd,1976,Unf,2,672,34900-124000
SawyerW,4,1966,1966,TA,CBlock,TA,1056,1056,1056,2112,1,TA,5,NA,Detchd,1966,Unf,1,384,34900-124000
OldTown,3,1915,1950,Gd,CBlock,Fa,840,840,1605,2445,2,TA,8,NA,Detchd,1915,Unf,1,379,34900-124000
NAmes,5,1955,2007,TA,Slab,NA,0,827,827,827,1,TA,5,Po,Detchd,1967,Unf,1,392,34900-124000
Edwards,5,1910,1991,TA,CBlock,Gd,1117,820,1347,2464,1,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1892,1965,TA,Stone,TA,994,1378,2372,3366,2,TA,11,NA,Attchd,1985,RFn,1,432,34900-124000
OldTown,4,1954,2000,TA,CBlock,TA,901,901,901,1802,1,TA,4,NA,Detchd,1954,Unf,1,281,34900-124000
Sawyer,5,1940,1997,TA,PConc,TA,672,672,672,1344,1,TA,4,NA,Detchd,1940,Unf,1,240,34900-124000
Edwards,4,1949,2003,TA,CBlock,NA,0,1126,1126,1126,2,Gd,5,NA,Detchd,2002,Fin,2,520,34900-124000
IDOTRR,4,1920,1950,TA,CBlock,TA,637,897,1336,1973,1,TA,7,NA,CarPort,1994,Unf,1,570,34900-124000
Edwards,5,1940,1969,TA,CBlock,TA,996,996,996,1992,1,TA,6,Gd,NA,?,NA,0,0,34900-124000
Edwards,4,1940,1950,TA,CBlock,TA,755,755,1510,2265,1,TA,7,Gd,Detchd,1940,Unf,1,296,34900-124000
Sawyer,5,1968,1968,TA,PConc,TA,948,948,948,1896,1,TA,6,NA,Attchd,1968,Unf,1,300,34900-124000
OldTown,5,1921,1968,TA,BrkTil,TA,1073,1073,1073,2146,1,TA,4,NA,Detchd,1968,Unf,1,326,34900-124000
OldTown,4,1920,1950,TA,PConc,TA,960,960,960,1920,1,Fa,5,NA,Detchd,1997,Unf,1,308,34900-124000
Sawyer,4,1969,1969,TA,CBlock,Gd,1198,1258,1258,2456,0,TA,6,NA,CarPort,1969,Unf,2,400,34900-124000
NAmes,5,1953,2007,TA,CBlock,TA,1057,1057,1057,2114,1,Gd,5,NA,Detchd,1953,Unf,1,246,34900-124000
OldTown,5,1940,1950,TA,CBlock,TA,735,735,1034,1769,1,TA,5,NA,Detchd,1940,Unf,1,240,34900-124000
NAmes,4,1957,1957,TA,CBlock,TA,907,907,907,1814,1,TA,5,NA,Detchd,1964,Unf,1,352,34900-124000
NAmes,5,1950,1950,TA,CBlock,NA,0,1040,1040,1040,1,TA,5,NA,Detchd,1950,Unf,2,625,34900-124000
OldTown,5,1924,2006,Gd,BrkTil,TA,768,792,792,1560,1,Gd,5,NA,Detchd,1924,Unf,1,240,34900-124000
BrkSide,5,1924,1950,TA,BrkTil,TA,784,784,784,1568,1,Gd,5,NA,NA,?,NA,0,0,34900-124000
NAmes,5,1962,1962,TA,CBlock,TA,894,894,894,1788,1,TA,5,NA,Detchd,1962,Unf,1,308,34900-124000
NAmes,4,1950,1950,TA,Slab,NA,0,1040,1040,1040,1,TA,4,NA,Detchd,1950,Unf,2,420,34900-124000
Sawyer,5,1966,1966,TA,PConc,TA,876,904,904,1780,1,TA,6,NA,Attchd,1966,Unf,1,408,34900-124000
IDOTRR,4,1916,1990,TA,CBlock,TA,1196,1196,1196,2392,1,TA,5,NA,Detchd,1957,Unf,2,440,34900-124000
IDOTRR,5,1963,1963,Fa,CBlock,Gd,816,816,816,1632,1,TA,5,NA,CarPort,1963,Unf,2,516,34900-124000
OldTown,5,1910,1981,TA,PConc,TA,440,682,1230,1670,1,TA,5,NA,Detchd,1966,Unf,2,440,34900-124000
OldTown,5,1947,1950,TA,CBlock,TA,720,720,1284,2004,1,TA,5,NA,Detchd,1948,Unf,1,240,34900-124000
Edwards,6,1920,2000,TA,BrkTil,TA,684,684,1196,1880,1,Gd,7,NA,Detchd,2005,Unf,2,528,34900-124000
OldTown,6,1930,2005,TA,BrkTil,TA,813,813,813,1626,1,Gd,5,NA,Detchd,1932,Unf,1,270,34900-124000
BrkSide,5,1950,1950,TA,CBlock,TA,709,979,1203,1912,1,Gd,5,TA,Detchd,1950,Unf,1,352,34900-124000
CollgCr,5,1975,1975,TA,CBlock,Gd,924,924,924,1848,1,TA,5,NA,Detchd,1981,Unf,1,280,34900-124000
NAmes,6,1968,1968,TA,CBlock,Fa,1392,1392,1392,2784,1,TA,5,TA,Attchd,1968,RFn,2,576,34900-124000
NAmes,5,1958,1958,TA,CBlock,TA,1584,1776,1776,3360,2,TA,9,NA,Detchd,1968,Unf,3,888,34900-124000
NAmes,5,1953,1953,TA,CBlock,TA,773,773,773,1546,1,TA,4,NA,Attchd,1953,Unf,1,240,34900-124000
NAmes,4,1971,1971,TA,CBlock,TA,858,858,858,1716,1,TA,4,NA,Detchd,1979,Unf,1,684,34900-124000
Edwards,4,1954,1954,TA,CBlock,TA,894,894,894,1788,1,TA,5,NA,Detchd,1999,Unf,2,400,34900-124000
NAmes,5,1966,1966,TA,CBlock,TA,864,892,892,1756,1,TA,5,NA,Attchd,1966,RFn,1,264,34900-124000
OldTown,5,1945,1997,TA,CBlock,TA,686,866,866,1552,1,Gd,4,NA,NA,?,NA,0,0,34900-124000
OldTown,6,1925,1980,TA,BrkTil,TA,1103,1103,1103,2206,1,Gd,5,Gd,Detchd,1976,Unf,2,440,34900-124000
Edwards,4,1954,1954,TA,PConc,TA,864,948,948,1812,1,TA,5,NA,Attchd,1954,Unf,1,248,34900-124000
NAmes,4,1972,1972,TA,CBlock,TA,864,864,864,1728,1,TA,5,NA,Detchd,1980,Unf,2,576,34900-124000
OldTown,6,1924,1950,TA,BrkTil,Fa,617,865,1310,1927,2,TA,6,NA,Attchd,1924,Unf,1,398,34900-124000
BrDale,5,1971,1971,TA,CBlock,TA,630,630,1302,1932,2,TA,6,NA,Detchd,1991,Unf,1,280,34900-124000
Edwards,4,1956,1956,TA,CBlock,TA,672,960,960,1632,1,TA,5,NA,Basment,1956,Unf,1,288,34900-124000
Sawyer,6,1978,1978,TA,Slab,NA,0,1318,1902,1902,2,TA,8,NA,Attchd,1978,Unf,2,539,34900-124000
Sawyer,5,1918,2007,TA,BrkTil,TA,816,1416,1416,2232,2,Gd,7,NA,Attchd,2007,Unf,2,576,34900-124000
Mitchel,5,1985,1985,TA,CBlock,TA,833,833,833,1666,1,TA,5,NA,NA,?,NA,0,0,34900-124000
Edwards,4,1910,2000,TA,CBlock,Fa,560,796,1346,1906,1,TA,6,NA,Detchd,1950,Unf,1,384,34900-124000
OldTown,5,1957,1957,TA,CBlock,TA,928,928,928,1856,1,TA,5,NA,Attchd,1957,Fin,1,288,34900-124000
CollgCr,5,1972,1972,TA,CBlock,TA,882,882,882,1764,1,TA,5,NA,Detchd,1980,Unf,2,461,34900-124000
OldTown,4,1920,2008,TA,BrkTil,TA,736,736,1452,2188,2,TA,8,NA,NA,?,NA,0,0,34900-124000
Edwards,6,1945,1950,TA,CBlock,TA,735,798,1487,2222,1,TA,7,Gd,Detchd,1949,Unf,1,220,34900-124000
Mitchel,5,1954,1954,TA,CBlock,TA,988,988,988,1976,1,TA,4,NA,Attchd,1954,RFn,2,520,34900-124000
BrDale,6,1973,1973,TA,CBlock,TA,672,672,1218,1890,1,TA,7,NA,Detchd,1973,Unf,1,264,34900-124000
BrkSide,5,1922,1950,TA,BrkTil,TA,993,1048,1048,2041,1,TA,5,Gd,Detchd,1922,Unf,1,280,34900-124000
Edwards,4,1941,1950,TA,CBlock,TA,672,672,672,1344,1,TA,4,NA,Attchd,1941,Unf,1,234,34900-124000
