MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,totalLivingArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,TypeOfPorch,Porchsqft,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30,RL,45,8212,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,3,3,1914,1950,Gable,Stucco,Stucco,None,0,TA,Fa,BrkTil,TA,Fa,No,Rec,203,Unf,661,864,GasA,TA,N,FuseF,864,0,864,1728,1,1,0,2,1,TA,5,0,NA,Detchd,1938,Unf,1,200,TA,Fa,Y,0,EnclosedPorch,96,NA,6,2010,WD,Normal,34900-124000
20,RL,68,9571,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,3,1958,1958,Gable,BrkComm,'Brk Cmn',None,0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,1276,1276,GasA,TA,Y,FuseA,1276,0,1276,2552,0,1,0,3,1,TA,5,0,NA,Attchd,1958,Unf,1,350,TA,TA,Y,0,None,0,NA,6,2009,COD,Abnorml,34900-124000
30,RM,51,6120,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1Story,2,3,1936,1950,Gable,AsbShng,AsbShng,None,0,Fa,Fa,BrkTil,TA,Fa,No,Unf,0,Unf,264,264,Grav,Fa,N,FuseA,800,0,800,1064,0,1,0,1,1,Fa,4,1,Po,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,1,2009,ConLw,Normal,34900-124000
30,RL,60,8400,Reg,Bnk,Inside,SWISU,Norm,1Fam,1Story,2,5,1920,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,CBlock,TA,Fa,No,Rec,290,Unf,0,290,GasA,TA,N,FuseF,438,0,438,728,0,1,0,1,1,Fa,3,0,NA,Detchd,1930,Unf,1,246,TA,TA,N,0,None,0,NA,1,2009,WD,Normal,34900-124000
30,RL,?,10020,IR1,Low,Inside,Edwards,Norm,1Fam,1Story,1,1,1922,1950,Gable,'Wd Sdng','Wd Sdng',None,0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,333,683,GasA,Gd,N,FuseA,904,0,904,1587,1,0,1,1,1,Fa,4,0,NA,NA,?,NA,0,0,NA,NA,Y,0,None,0,NA,3,2009,WD,Normal,34900-124000
20,RL,60,8281,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,553,BLQ,0,864,GasA,Gd,Y,SBrkr,864,0,864,1728,0,1,0,3,1,TA,5,1,Po,Detchd,1965,Unf,1,360,TA,TA,Y,0,EnclosedPorch,236,GdWo,12,2009,WD,Normal,34900-124000
30,RL,60,10800,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,4,6,1927,2007,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,656,656,GasA,TA,Y,SBrkr,968,0,968,1624,0,2,0,4,1,TA,5,0,NA,Detchd,1928,Unf,1,216,Fa,Fa,Y,0,None,0,NA,8,2007,WD,Normal,34900-124000
50,RM,52,5720,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5,6,1941,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,676,676,GasA,Ex,Y,SBrkr,676,455,1131,1807,0,1,1,3,1,TA,5,0,NA,Detchd,1941,Unf,1,200,TA,TA,Y,26,None,0,NA,8,2009,WD,Abnorml,34900-124000
30,RM,60,8967,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,1Story,5,2,1920,1950,Gable,MetalSd,MetalSd,None,0,TA,Fa,BrkTil,Fa,Po,No,Unf,0,Unf,961,961,GasA,Gd,Y,Mix,1077,0,1077,2038,0,1,0,2,1,TA,6,0,NA,Detchd,1920,Unf,1,338,Po,Po,N,0,None,0,NA,11,2007,WD,Abnorml,34900-124000
30,RL,45,8248,Reg,Lvl,Inside,Edwards,Norm,1Fam,1Story,3,3,1914,1950,Gable,Stucco,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,41,Unf,823,864,GasA,TA,N,FuseF,864,0,864,1728,1,1,0,2,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,N,0,EnclosedPorch,100,NA,9,2008,WD,Normal,34900-124000
50,'C (all)',60,7500,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1.5Fin,4,4,1920,1950,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,698,698,GasA,TA,Y,FuseA,698,430,1128,1826,0,1,0,2,1,TA,6,0,NA,Detchd,1980,RFn,2,528,TA,TA,Y,30,EnclosedPorch,164,NA,4,2010,COD,Abnorml,34900-124000
30,RM,60,6324,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,520,520,GasA,Fa,N,SBrkr,520,0,520,1040,0,1,0,1,1,Fa,4,0,NA,Detchd,1920,Unf,1,240,Fa,TA,Y,49,EnclosedPorch,87,NA,5,2008,WD,Normal,34900-124000
20,RL,?,6627,IR1,Lvl,Corner,BrkSide,Feedr,1Fam,1Story,3,6,1949,1950,Hip,VinylSd,VinylSd,None,0,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,Floor,TA,N,SBrkr,720,0,720,720,0,1,0,2,1,TA,4,0,NA,Detchd,1955,Unf,1,287,TA,Fa,Y,0,None,0,NA,7,2008,WD,Normal,34900-124000
30,RM,30,5232,IR3,Bnk,Inside,OldTown,Artery,1Fam,1Story,5,5,1925,2004,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,680,680,GasA,Gd,N,FuseP,764,0,764,1444,0,1,0,2,1,TA,4,0,NA,Detchd,1965,Unf,2,504,TA,TA,N,0,None,0,NA,6,2008,WD,Normal,34900-124000
160,RM,21,2001,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,5,1970,1970,Gable,CemntBd,CmentBd,BrkFace,80,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,546,546,GasA,Fa,Y,SBrkr,546,546,1092,1638,0,1,1,3,1,TA,6,0,NA,Attchd,1970,Unf,1,286,TA,TA,Y,0,None,0,NA,1,2007,WD,Normal,34900-124000
180,RM,21,1491,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,SFoyer,4,6,1972,1972,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,LwQ,150,GLQ,0,630,GasA,Ex,Y,SBrkr,630,0,630,1260,1,1,0,1,1,TA,3,0,NA,NA,?,NA,0,0,NA,NA,Y,96,OpenPorch,24,NA,5,2010,WD,Normal,34900-124000
45,RH,60,9000,Reg,Lvl,Corner,SawyerW,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,Fa,Fa,No,Unf,0,Unf,784,784,GasA,TA,N,FuseA,784,0,784,1568,0,1,0,2,1,TA,5,0,NA,Detchd,1950,Unf,2,360,Fa,Fa,N,0,EnclosedPorch,91,NA,10,2009,WD,Normal,34900-124000
30,RL,55,5350,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,3,2,1940,1966,Gable,'Wd Sdng',Plywood,None,0,TA,Po,CBlock,TA,TA,No,Unf,0,Unf,728,728,GasA,Ex,Y,SBrkr,1306,0,1306,2034,0,1,0,3,1,Fa,6,0,NA,NA,?,NA,0,0,NA,NA,Y,263,None,0,GdWo,5,2010,WD,Normal,34900-124000
70,RM,60,6402,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,2Story,5,5,1920,1950,Gable,'Wd Sdng','Wd Shng',None,0,TA,TA,PConc,TA,TA,Mn,Unf,0,Unf,596,596,GasA,TA,N,SBrkr,596,596,1192,1788,0,1,0,3,1,TA,6,0,NA,Detchd,1920,Unf,1,189,Fa,Fa,N,0,EnclosedPorch,137,GdWo,7,2009,WD,Normal,34900-124000
50,RL,60,9600,Reg,Lvl,Corner,Edwards,Artery,1Fam,1.5Fin,6,5,1924,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,572,572,Grav,Fa,N,FuseF,572,524,1096,1668,0,1,0,2,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,N,0,EnclosedPorch,136,NA,4,2008,WD,Normal,34900-124000
50,RM,63,5000,Reg,Lvl,Corner,OldTown,Norm,1Fam,1.5Fin,5,4,1900,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,540,540,GasA,Gd,N,FuseA,889,551,1440,1980,0,1,0,3,1,TA,6,0,NA,Attchd,1940,Unf,1,352,Fa,TA,Y,0,EnclosedPorch,77,NA,4,2006,WD,Normal,34900-124000
30,RH,70,4270,Reg,Bnk,Inside,Edwards,Norm,1Fam,1Story,3,6,1931,2006,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Rec,544,Unf,0,544,GasA,Ex,Y,SBrkr,774,0,774,1318,0,1,0,3,1,Gd,6,0,NA,NA,?,NA,0,0,NA,NA,Y,0,EnclosedPorch,286,NA,5,2007,WD,Normal,34900-124000
40,RM,50,9100,Reg,Lvl,Inside,BrkSide,RRAn,1Fam,1Story,5,6,1930,1960,Gable,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,742,742,GasA,TA,Y,FuseA,779,0,935,1677,0,1,0,2,1,TA,4,0,NA,Detchd,1988,Unf,1,308,TA,TA,P,0,None,0,NA,8,2008,WD,Normal,34900-124000
50,RM,60,5586,IR1,Bnk,Inside,OldTown,Feedr,1Fam,1.5Fin,6,7,1920,1998,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,901,901,GasA,Gd,Y,SBrkr,1088,110,1198,2099,0,1,0,4,1,TA,7,0,NA,NA,?,NA,0,0,NA,NA,N,0,OpenPorch,98,MnPrv,9,2008,ConLD,Abnorml,34900-124000
30,RL,52,5825,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,4,5,1926,1953,Gable,MetalSd,MetalSd,BrkFace,108,TA,Gd,PConc,Fa,TA,Mn,Unf,0,Unf,600,600,GasA,Gd,Y,SBrkr,747,0,747,1347,0,1,0,1,1,TA,5,0,NA,Detchd,1953,Unf,2,528,TA,TA,Y,0,EnclosedPorch,32,NA,6,2006,WD,Normal,34900-124000
30,RM,47,4608,Reg,Lvl,Corner,OldTown,Artery,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,747,747,GasA,TA,Y,SBrkr,747,0,747,1494,0,1,0,2,1,TA,4,0,NA,Attchd,1945,Unf,1,220,TA,TA,Y,0,None,0,NA,6,2010,WD,Normal,34900-124000
180,RM,21,1477,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,SFoyer,4,4,1970,1970,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,GLQ,509,Unf,121,630,GasA,TA,Y,SBrkr,630,0,630,1260,1,1,0,1,1,TA,3,0,NA,Attchd,1970,Unf,1,286,TA,TA,Y,0,None,0,NA,4,2009,WD,Normal,34900-124000
20,RL,?,9000,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,3,1959,1959,Gable,'Wd Sdng',Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,288,Unf,718,1006,GasA,TA,Y,SBrkr,1006,0,1006,2012,0,1,0,3,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,Y,0,OpenPorch,24,NA,7,2008,WD,Normal,34900-124000
190,RL,60,12180,Reg,Lvl,Inside,Edwards,Norm,2fmCon,1.5Fin,4,4,1941,1950,Gable,MetalSd,MetalSd,None,0,TA,Fa,BrkTil,Gd,TA,No,BLQ,348,Unf,324,672,Grav,Fa,N,FuseA,672,252,924,1596,1,1,0,2,1,Fa,5,0,NA,Detchd,1941,Unf,1,280,TA,TA,Y,0,None,0,MnPrv,7,2010,WD,Normal,34900-124000
50,RM,52,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,4,5,1947,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,GasA,Gd,N,SBrkr,672,240,912,912,0,1,0,2,1,TA,3,0,NA,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,7,2006,WD,Normal,34900-124000
50,RL,58,8410,Reg,Lvl,FR2,Edwards,Feedr,1Fam,1.5Fin,5,3,1910,1996,Gambrel,'Wd Sdng',VinylSd,None,0,TA,Fa,PConc,TA,TA,No,Unf,0,Unf,658,658,GasA,TA,Y,SBrkr,658,526,1184,1842,0,1,0,5,1,TA,8,0,NA,NA,?,NA,0,0,NA,NA,N,0,OpenPorch,151,NA,5,2006,WD,AdjLand,34900-124000
180,RM,21,1890,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CemntBd,CmentBd,None,0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,135,630,GasA,Gd,Y,SBrkr,630,0,630,1260,1,1,0,1,1,TA,3,0,NA,NA,?,NA,0,0,NA,NA,Y,88,None,0,NA,6,2008,WD,Normal,34900-124000
30,'C (all)',120,18000,Reg,Low,Inside,IDOTRR,Norm,1Fam,1Story,3,4,1935,1950,Gable,MetalSd,MetalSd,None,0,Fa,TA,CBlock,TA,TA,No,Unf,0,Unf,894,894,GasA,TA,Y,SBrkr,894,0,894,1788,0,1,0,2,1,TA,6,0,NA,Detchd,1994,RFn,3,1248,TA,TA,Y,0,OpenPorch,20,NA,8,2008,ConLD,Normal,34900-124000
90,RL,65,6040,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,GasA,TA,N,FuseP,1152,0,1152,1152,0,2,0,2,2,Fa,6,0,NA,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,6,2008,WD,AdjLand,34900-124000
20,RH,60,8400,Reg,Lvl,Inside,SawyerW,Feedr,1Fam,1Story,4,4,1950,1950,Gable,'Wd Sdng',AsbShng,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,721,721,GasA,Gd,Y,SBrkr,841,0,841,1562,0,1,0,2,1,TA,4,0,NA,CarPort,1950,Unf,1,294,TA,TA,N,250,EnclosedPorch,24,NA,9,2009,WD,Normal,34900-124000
20,RL,74,10206,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,3,3,1952,1952,Flat,BrkComm,'Brk Cmn',None,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,GasW,Fa,N,FuseF,944,0,944,944,0,1,0,2,1,Fa,4,0,NA,Detchd,1956,Unf,2,528,TA,Fa,Y,0,None,0,NA,7,2009,WD,Normal,34900-124000
30,RL,?,12342,IR1,Lvl,Inside,Edwards,Norm,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,599,861,GasA,Ex,Y,SBrkr,861,0,861,1722,0,1,0,1,1,TA,4,0,NA,Detchd,1961,Unf,2,539,TA,TA,Y,158,None,0,NA,3,2009,WD,Normal,34900-124000
20,RL,85,11900,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,5,1977,1977,Hip,Plywood,Plywood,BrkFace,209,TA,Gd,CBlock,TA,TA,No,ALQ,822,Unf,564,1386,GasA,TA,Y,SBrkr,1411,0,1411,2797,0,2,0,3,1,TA,6,1,TA,Attchd,1977,Fin,2,544,TA,TA,Y,192,None,0,NA,4,2009,WD,Family,34900-124000
30,RL,50,5330,Reg,HLS,Inside,BrkSide,Norm,1Fam,1Story,4,7,1940,1950,Hip,VinylSd,VinylSd,None,0,Fa,TA,CBlock,TA,TA,No,LwQ,280,Unf,140,420,GasA,Gd,Y,SBrkr,708,0,708,1128,0,1,0,2,1,Fa,5,0,NA,NA,?,NA,0,0,NA,NA,Y,164,None,0,NA,12,2009,WD,Normal,34900-124000
30,RL,85,10625,Reg,Lvl,Corner,Edwards,Norm,1Fam,1Story,5,5,1920,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,BrkTil,TA,TA,No,ALQ,108,Unf,350,458,GasA,Fa,N,SBrkr,835,0,835,1293,0,1,0,2,1,TA,5,0,NA,Basment,1920,Unf,1,366,Fa,TA,Y,0,EnclosedPorch,77,NA,5,2010,COD,Abnorml,34900-124000
160,RM,21,1953,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1973,1973,Gable,HdBoard,HdBoard,BrkFace,408,TA,TA,CBlock,TA,Fa,No,BLQ,309,Unf,174,483,GasA,TA,Y,SBrkr,483,504,987,1470,0,1,1,2,1,TA,5,0,NA,Detchd,1973,Unf,1,264,TA,TA,Y,72,None,0,NA,6,2006,WD,Normal,34900-124000
160,RM,?,1974,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,334,Unf,212,546,GasA,TA,Y,SBrkr,546,546,1092,1638,0,1,1,3,1,TA,6,0,NA,Attchd,1973,RFn,1,286,TA,TA,Y,120,OpenPorch,96,NA,5,2010,WD,Normal,34900-124000
20,RL,?,11500,IR1,Lvl,CulDSac,Edwards,Norm,1Fam,1Story,4,3,1957,1957,Gable,'Wd Sdng','Wd Sdng',None,0,TA,Gd,Slab,NA,NA,NA,NA,0,NA,0,0,GasA,Ex,N,SBrkr,845,0,845,845,0,1,0,3,1,TA,5,0,NA,Detchd,1957,Unf,1,290,TA,TA,N,186,None,0,NA,1,2009,WD,Normal,34900-124000
190,RM,60,6780,Reg,Lvl,Inside,IDOTRR,Norm,2fmCon,1.5Fin,6,8,1935,1982,Gable,'Wd Sdng','Wd Sdng',None,0,TA,Fa,CBlock,TA,TA,Av,GLQ,490,Unf,30,520,GasA,Gd,N,SBrkr,520,0,754,1274,1,1,0,2,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,N,53,None,0,NA,6,2006,WD,Normal,34900-124000
180,RM,21,1936,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,SFoyer,4,6,1970,1970,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Av,BLQ,131,GLQ,0,630,GasA,Gd,Y,SBrkr,630,0,630,1260,1,1,0,1,1,TA,3,0,NA,NA,?,NA,0,0,NA,NA,Y,0,None,0,MnPrv,12,2007,WD,Normal,34900-124000
20,RL,90,17217,Reg,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,5,2006,2006,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1140,1140,GasA,Ex,Y,SBrkr,1140,0,1140,2280,0,1,0,3,1,TA,6,0,NA,NA,?,NA,0,0,NA,NA,Y,36,OpenPorch,56,NA,7,2006,WD,Abnorml,34900-124000
20,RL,60,11100,Reg,Low,Inside,Edwards,Norm,1Fam,1Story,4,7,1946,2006,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,GasA,Ex,Y,SBrkr,930,0,930,930,0,1,0,2,1,Gd,6,0,NA,Detchd,1946,Unf,1,308,TA,TA,Y,0,None,0,NA,4,2010,WD,Abnorml,34900-124000
50,'C (all)',105,8470,IR1,Lvl,Corner,IDOTRR,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,Plywood,Plywood,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,Unf,1013,1013,GasA,TA,N,SBrkr,1013,0,1526,2539,0,1,0,2,1,Fa,6,0,NA,NA,?,NA,0,0,NA,NA,N,0,EnclosedPorch,156,MnPrv,10,2009,ConLD,Abnorml,34900-124000
160,RM,36,2592,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,No,Rec,129,BLQ,175,536,GasA,TA,Y,SBrkr,536,576,1112,1648,0,1,1,3,1,TA,4,0,NA,Attchd,1976,Unf,1,336,TA,TA,Y,182,None,0,NA,4,2010,WD,Normal,34900-124000
30,RL,67,8777,Reg,Lvl,Inside,Edwards,Feedr,1Fam,1Story,5,7,1910,1950,Gable,MetalSd,'Wd Sdng',None,0,TA,TA,CBlock,Fa,TA,No,Unf,0,Unf,796,796,GasA,Gd,Y,FuseA,796,0,796,1592,0,1,0,2,1,TA,4,0,NA,NA,?,NA,0,0,NA,NA,P,328,EnclosedPorch,164,MnPrv,5,2008,WD,Normal,34900-124000
30,RM,60,7200,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,5,4,1910,2006,Hip,MetalSd,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,247,Rec,310,1022,GasW,TA,N,SBrkr,1022,0,1022,2044,1,1,0,2,1,TA,4,0,NA,Detchd,1956,Unf,1,280,TA,TA,Y,0,EnclosedPorch,256,NA,6,2009,WD,Normal,34900-124000
160,RM,21,1680,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,96,483,GasA,TA,Y,SBrkr,483,504,987,1470,0,1,1,2,1,TA,4,0,NA,Detchd,1971,Unf,1,264,TA,TA,Y,0,None,0,NA,7,2008,COD,Abnorml,34900-124000
